Latitude (decimal degrees): 59.912
Longitude (decimal degrees): 10.750
Elevation (m): 14.0
month,year
1,2008
2,2010
3,2009
4,2010
5,2012
6,2007
7,2014
8,2007
9,2008
10,2009
11,2013
12,2008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20080101:0000,-5.18,85.76,0.0,-0.0,0.0,295.22,3.69,26.0,103388.0
20080101:0100,-5.13,85.26,0.0,-0.0,0.0,294.62,3.88,25.0,103378.0
20080101:0200,-5.07,84.76,0.0,-0.0,0.0,294.02,4.07,24.0,103368.0
20080101:0300,-5.02,84.26,0.0,-0.0,0.0,293.42,4.25,24.0,103378.0
20080101:0400,-4.96,83.76,0.0,-0.0,0.0,292.82,4.44,24.0,103388.0
20080101:0500,-4.91,83.26,0.0,-0.0,0.0,292.22,4.62,24.0,103398.0
20080101:0600,-4.86,82.76,0.0,-0.0,0.0,291.62,4.81,25.0,103412.0
20080101:0700,-4.8,82.26,0.0,-0.0,0.0,291.02,5.0,25.0,103425.0
20080101:0800,-3.28,82.54,0.0,-0.0,0.0,325.6,4.74,26.0,103438.0
20080101:0900,-2.63,82.09,3.0,0.0,3.0,323.25,4.86,27.0,103425.0
20080101:1000,-1.99,81.63,13.0,0.0,13.0,320.9,4.98,29.0,103412.0
20080101:1100,-1.34,81.18,15.0,0.0,15.0,318.55,5.1,30.0,103398.0
20080101:1200,-1.4,81.78,35.0,8.94,34.0,318.38,5.09,32.0,103365.0
20080101:1300,-1.47,82.39,7.0,0.0,7.0,318.22,5.09,33.0,103332.0
20080101:1400,-1.53,82.99,0.0,0.0,0.0,318.05,5.08,34.0,103298.0
20080101:1500,-1.57,84.19,0.0,-0.0,0.0,317.98,4.91,39.0,103305.0
20080101:1600,-1.62,85.4,0.0,-0.0,0.0,317.92,4.74,45.0,103312.0
20080101:1700,-1.66,86.6,0.0,-0.0,0.0,317.85,4.58,50.0,103318.0
20080101:1800,-1.67,88.35,0.0,-0.0,0.0,319.5,4.41,58.0,103335.0
